freq_GHz,target_s11_dB,pred_s11_dB
2.033066132264528925e+00,-1.000000000076885831e+00,-6.973814964294433594e-01
2.037074148296593279e+00,-1.000000000135050193e+00,-6.859534978866577148e-01
2.041082164328657189e+00,-1.000000000235752751e+00,-6.750089526176452637e-01
2.045090180360721543e+00,-1.000000000409007272e+00,-6.645789742469787598e-01
2.049098196392785454e+00,-1.000000000705210335e+00,-6.546928882598876953e-01
2.053106212424849808e+00,-1.000000001208423805e+00,-6.453945636749267578e-01
2.057114228456914162e+00,-1.000000002057940929e+00,-6.367117762565612793e-01
2.061122244488978072e+00,-1.000000003483048738e+00,-6.286788582801818848e-01
2.065130260521041983e+00,-1.000000005858672658e+00,-6.213328242301940918e-01
2.069138276553106337e+00,-1.000000009793816202e+00,-6.147032380104064941e-01
